tract_id,mhi,year_usd
22073011000,21000,2012
22073011100,21000,2012
22075050100,43000,2012
22075050200,72000,2012
22075050300,63000,2012
22075050400,55000,2012
22075050500,38000,2012
22075050600,49000,2012
22075050700,41000,2012
22075050800,28000,2012
22077951900,27000,2012
22077952000,44000,2012
22077952100,52000,2012
22077952200,48000,2012
22077952300,37000,2012
22077952400,51000,2012
22079010100,49000,2012
22079010300,49000,2012
22079010400,65000,2012
22079010500,34000,2012
22079010600,40000,2012
22079010700,62000,2012
22079011000,23000,2012
22079011300,48000,2012
22079011500,52000,2012
22079011600,42000,2012
22079011700,27000,2012
22079012000,15000,2012
22079012100,31000,2012
22079012200,40000,2012
22079012301,67000,2012
22079012302,63000,2012
22079012400,45000,2012
22079012500,42000,2012
22079012600,40000,2012
22079012700,22000,2012
22079012800,33000,2012
22079012900,21000,2012
22079013000,32000,2012
22079013100,23000,2012
22079013200,52000,2012
22079013300,41000,2012
22079013400,62000,2012
22079013500,39000,2012
22079013600,33000,2012
22079013700,42000,2012
22079013800,47000,2012
22079013900,17000,2012
22081960100,38000,2012
22081960300,31000,2012
22083970100,34000,2012
22083970200,44000,2012
22083970300,37000,2012
22083970400,51000,2012
22083970500,30000,2012
22083970600,40000,2012
22085000100,39000,2012
22085000200,37000,2012
22085000300,30000,2012
22085000400,44000,2012
22085000500,22000,2012
22085000600,39000,2012
22085000700,46000,2012
22087030103,35000,2012
22087030104,31000,2012
22087030105,33000,2012
22087030203,44000,2012
22087030204,38000,2012
22087030206,63000,2012
22087030207,53000,2012
22087030208,58000,2012
22087030209,46000,2012
22087030300,35000,2012
22087030400,43000,2012
22087030500,35000,2012
22087030601,42000,2012
22087030602,31000,2012
22087030603,25000,2012
22087030700,40000,2012
22087030800,32000,2012
22089060100,59000,2012
22089062100,54000,2012
22089062200,40000,2012
22089062301,98000,2012
22089062302,66000,2012
22089062400,39000,2012
22089062500,49000,2012
22089062700,52000,2012
22089062800,42000,2012
22089062900,55000,2012
22089063000,47000,2012
22089063100,85000,2012
22089063200,56000,2012
22091951100,35000,2012
22091951200,32000,2012
22093040100,43000,2012
22093040200,58000,2012
22093040300,64000,2012
22093040400,32000,2012
22093040500,35000,2012
22093040600,59000,2012
22093040700,72000,2012
22095070100,81000,2012
22095070200,60000,2012
22095070300,53000,2012
22095070400,73000,2012
22095070500,62000,2012
22095070600,42000,2012
22095070700,43000,2012
22095070800,33000,2012
22095070900,30000,2012
22095071000,38000,2012
22095071100,37000,2012
22097960100,30000,2012
22097960200,41000,2012
22097960300,39000,2012
22097960400,35000,2012
22097960500,41000,2012
22097960600,35000,2012
22097960700,40000,2012
22097960800,45000,2012
22097960900,30000,2012
22097961000,32000,2012
22097961100,38000,2012
22097961200,39000,2012
22097961300,18000,2012
22097961400,19000,2012
22097961500,34000,2012
22097961600,19000,2012
22097961700,49000,2012
22097961800,63000,2012
22097961900,35000,2012
22099020100,42000,2012
22099020200,52000,2012
22099020301,46000,2012
22099020302,43000,2012
22099020400,40000,2012
22099020501,36000,2012
22099020502,50000,2012
22099020600,34000,2012
22099020800,39000,2012
22099020900,42000,2012
22099021000,56000,2012
22101040100,35000,2012
22101040200,61000,2012
22101040300,28000,2012
22101040400,37000,2012
22101040500,49000,2012
22101040600,49000,2012
22101040700,42000,2012
22101040800,51000,2012
22101040900,52000,2012
22101041000,40000,2012
22101041100,35000,2012
22101041200,28000,2012
22101041300,39000,2012
22101041400,35000,2012
22101041500,44000,2012
22101041600,19000,2012
22103040102,49000,2012
22103040103,51000,2012
22103040104,69000,2012
22103040201,57000,2012
22103040202,54000,2012
22103040303,68000,2012
22103040304,104000,2012
22103040305,87000,2012
22103040400,81000,2012
22103040501,28000,2012
22103040502,53000,2012
22103040601,92000,2012
22103040602,56000,2012
22103040604,53000,2012
22103040605,77000,2012
22103040701,67000,2012
22103040704,31000,2012
22103040705,53000,2012
22103040706,49000,2012
22103040708,98000,2012
22103040709,81000,2012
22103040710,63000,2012
22103040801,40000,2012
22103040802,81000,2012
22103040803,52000,2012
22103040900,30000,2012
22103041002,49000,2012
22103041003,56000,2012
22103041004,61000,2012
22103041101,44000,2012
22103041102,41000,2012
22103041103,35000,2012
22103041104,63000,2012
22103041202,41000,2012
